Geography,No income,R 1 - R 400,R 401 - R 800,R 801 - R 1 600,R 1 601 - R 3 200,R 3 201 - R 6 400,R 6 401 - R 12 800,R 12 801 - R 25 600,R 25 601 - R 51 200,R 51 201 - R 102 400,R 102 401 - R 204 800,R 204 801 or more,Unspecified,Not applicable
83102025: Ward 25,43.23688,18.6538899,2.8054806,11.0051153,8.2308347,7.8061003,3.8115411,0.9540097,0.1576711,0.0518652,0.0308293,0.0154983,3.2402844,0
83102026: Ward 26,39.2014851,3.5106495,1.5414234,4.5863699,5.0889469,7.2395849,7.7209302,8.2382732,2.9366927,0.8462089,0.6194855,0.2759104,16.1366117,2.0574276
83102027: Ward 27,37.8469028,3.9747569,1.759849,7.0076194,8.5764107,10.1725513,7.9420041,8.1395565,2.9694514,0.5576702,0.0816489,0.2171468,9.230536,1.5238958
83102028: Ward 28,47.7264728,14.0916786,3.1425517,9.5505868,7.3021584,6.8528492,3.2448401,0.9871,0.3173838,0.0643691,0.0224755,0.0150286,5.877718,0.8047874
83102029: Ward 29,40.9151183,18.921637,3.4154631,9.2868985,8.2599849,6.3575663,3.2758091,0.8890931,0.1959232,0.0204746,0,0.0116643,6.9384908,1.5118768
83102030: Ward 30,41.2851206,11.6729079,2.265952,8.7037049,7.3346204,6.9259786,4.5369214,1.7022971,0.3516574,0.0651327,0.0309046,0.0317783,6.8897283,8.2032957
83102031: Ward 31,50.3213518,14.8644619,1.8040501,7.4040683,5.97739,6.0142375,5.6810161,1.7953452,0.3123659,0.0109504,0.0109504,0.0114692,5.7923434,0
83102032: Ward 32,45.5184931,10.199748,2.4289823,7.888972,8.4385157,10.0096907,6.0889102,2.3774209,0.5373664,0.0852481,0.0414483,0.0570328,4.5130492,1.8151223
83102033: Ward 33,37.3731541,0.9398114,0.8085824,4.5422955,6.7712707,8.6320722,10.485246,10.2444725,3.0090371,0.3695846,0.2126418,0.0600478,12.8301263,3.7216577
83102034: Ward 34,28.3480386,3.4643502,1.9417335,6.2760501,7.281786,5.6099595,8.9296826,11.8497953,7.1766598,2.5762239,0.6030022,0.4876035,14.1784337,1.276681
83103001: Ward 1,49.0458651,17.2215109,1.8059583,6.819873,5.3121321,8.9020414,5.5213555,2.6190436,0.4175813,0.0284315,0,0,2.3062073,0
83103002: Ward 2,43.1358551,22.046008,3.457548,9.0560462,7.1934622,6.9039589,3.4017679,0.7688678,0.2238684,0.0187801,0.0498185,0.0509852,3.6930338,0
83103003: Ward 3,37.997271,12.7905823,2.9183092,9.2628441,7.0092957,6.676802,5.8426396,3.6211539,1.3198809,0.373287,0.2180344,0.0540037,7.826847,4.0890493
83103004: Ward 4,36.0316789,7.5083034,2.058311,6.9804847,10.4833396,11.8345392,7.273526,3.7799109,1.8209461,0.11255,0.0655673,0.091791,7.7857919,4.17326
83103005: Ward 5,30.5619196,3.7237369,1.7016926,6.5246765,8.290468,10.1064699,8.5559851,6.1529835,2.1825925,0.4126946,0.2141819,0.2345222,15.0588197,6.2792571
83103006: Ward 6,34.4877889,6.9869918,1.7197562,6.9602523,10.9825116,9.4242929,7.0796315,3.7657672,0.9497099,0.1468772,0.1312694,0.1594479,14.2940005,2.9117027
83103007: Ward 7,27.4530827,6.4637783,2.0513346,9.6218419,7.0344168,8.2729923,8.5925088,4.9035309,1.2425781,0.0761305,0.1390821,0.0678139,20.1652426,3.9156666
83103008: Ward 8,38.6081928,10.9041702,3.5415082,10.6483496,10.4887345,7.9821115,3.2424718,1.1683677,0.2321268,0.0105688,0.0110695,0.0105688,12.287308,0.864452
83103009: Ward 9,32.7084467,18.0930604,2.6589071,18.8860605,8.4809523,4.9644366,2.8829855,0.9868532,0.3856955,0.1335936,0.071105,0.0237017,9.7242019,0
83103010: Ward 10,30.3280268,2.0999743,1.3328621,7.1827292,6.3112926,8.9681757,8.3281161,6.8975383,2.8154736,0.5351442,0.3166144,0.1690746,23.4949739,1.2200042
83103011: Ward 11,35.2322645,1.3253963,1.0240273,4.1699838,5.0670612,8.3618524,11.7660119,12.3277819,4.6349977,0.5516114,0.1880526,0.239683,14.8187913,0.2924847
83103012: Ward 12,26.4822911,0.8673045,0.7570572,3.7595466,3.8933825,6.5104991,9.9673799,12.2448565,7.1079468,2.0858326,0.6797241,0.3633483,19.4156293,5.8652016
83103013: Ward 13,26.5596392,1.1899719,1.0122538,5.0291197,6.3846857,8.874528,13.2909421,10.1668474,3.9554743,0.790812,0.1163704,0.2505197,17.4277658,4.95107
83103014: Ward 14,28.4865866,1.1613432,0.7509542,2.3547319,4.6540517,6.4725119,10.628519,12.4928455,8.2674367,3.9181604,0.8185361,0.5544167,11.1745937,8.2653123
83103015: Ward 15,27.1014193,0.8951296,0.5347806,3.2243515,4.0994606,6.3471034,9.9173697,10.9951557,4.4982261,0.872607,0.3264125,0.262686,19.3173434,11.6079545
83103016: Ward 16,28.3064995,5.1134031,2.0937828,9.3903084,6.8503354,7.3562909,8.9809501,8.7845849,3.1708552,0.8813085,0.3640568,0.3450106,17.8756711,0.4869429
83103017: Ward 17,51.1826445,8.821881,3.5886697,9.3197979,7.3783395,5.3281056,4.7046639,2.9593039,0.6267933,0.0831141,0.1186361,0.0689879,5.8190625,0
83103018: Ward 18,41.1425548,13.3845131,2.7465651,10.737504,7.7912288,8.4029816,6.0436741,1.9594034,0.5442,0.0511036,0.1226713,0.0248725,7.0487277,0
83103019: Ward 19,35.1548409,10.7897054,3.4132176,12.2322667,9.2462529,8.4648071,5.9808406,2.9315399,0.4977891,0.0423354,0.0639929,0,11.1824114,0
83103020: Ward 20,44.1617063,6.7494757,2.1326554,6.0329983,6.8787285,5.7885209,6.2866015,4.3823179,0.7604009,0.0536052,0.0525782,0.0769559,16.6434554,0
