Summation Options,Geography,Highest educational level,Count
Person weighted,10101003: Ward 3,Honours degree,0.2035116
Person weighted,10101003: Ward 3,Higher Degree Masters / PhD,0.2278616
Person weighted,10101003: Ward 3,Other,0.0900152
Person weighted,10101003: Ward 3,No schooling,5.6260969
Person weighted,10101003: Ward 3,Unspecified,0
Person weighted,10101003: Ward 3,Not applicable,11.2821595
Person weighted,10101003: Ward 3,Total,100
Person weighted,10101004: Ward 4,Gade 0,3.9207878
Person weighted,10101004: Ward 4,Grade 1 / Sub A,3.737851
Person weighted,10101004: Ward 4,Grade 2 / Sub B,2.5379628
Person weighted,10101004: Ward 4,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.0091816
Person weighted,10101004: Ward 4,Grade 4 / Std 2,3.7421989
Person weighted,10101004: Ward 4,Grade 5 / Std 3/ABET 2,4.0623208
Person weighted,10101004: Ward 4,Grade 6 / Std 4,5.4602649
Person weighted,10101004: Ward 4,Grade 7 / Std 5/ ABET 3,7.6926254
Person weighted,10101004: Ward 4,Grade 8 / Std 6 / Form 1,10.4676644
Person weighted,10101004: Ward 4,Grade 9 / Std 7 / Form 2/ ABET 4,7.066153
Person weighted,10101004: Ward 4,Grade 10 / Std 8 / Form 3,9.0676744
Person weighted,10101004: Ward 4,Grade 11 / Std 9 / Form 4,4.1841866
Person weighted,10101004: Ward 4,Grade 12 / Std 10 / Form 5,13.0060323
Person weighted,10101004: Ward 4,NTC I / N1/ NIC/ V Level 2,0.2069959
Person weighted,10101004: Ward 4,NTC II / N2/ NIC/ V Level 3,0.1307952
Person weighted,10101004: Ward 4,NTC III /N3/ NIC/ V Level 4,0.1725909
Person weighted,10101004: Ward 4,N4 / NTC 4,0.1263636
Person weighted,10101004: Ward 4,N5 /NTC 5,0.1010889
Person weighted,10101004: Ward 4,N6 / NTC 6,0.1357929
Person weighted,10101004: Ward 4,Certificate with less than Grade 12 / Std 10,0.0244946
Person weighted,10101004: Ward 4,Diploma with less than Grade 12 / Std 10,0.131498
Person weighted,10101004: Ward 4,Certificate with Grade 12 / Std 10,0.2526945
Person weighted,10101004: Ward 4,Diploma with Grade 12 / Std 10,0.7693956
Person weighted,10101004: Ward 4,Higher Diploma,0.4949445
Person weighted,10101004: Ward 4,Post Higher Diploma Masters; Doctoral Diploma,0.0520997
Person weighted,10101004: Ward 4,Bachelors Degree,0.3833022
Person weighted,10101004: Ward 4,Bachelors Degree and Post graduate Diploma,0.1210152
Person weighted,10101004: Ward 4,Honours degree,0.1753179
Person weighted,10101004: Ward 4,Higher Degree Masters / PhD,0.0554101
Person weighted,10101004: Ward 4,Other,0.0932347
Person weighted,10101004: Ward 4,No schooling,3.7509588
Person weighted,10101004: Ward 4,Unspecified,0
Person weighted,10101004: Ward 4,Not applicable,14.867103
Person weighted,10101004: Ward 4,Total,100
Person weighted,10101005: Ward 5,Gade 0,3.0840072
Person weighted,10101005: Ward 5,Grade 1 / Sub A,2.9816641
Person weighted,10101005: Ward 5,Grade 2 / Sub B,2.8188174
Person weighted,10101005: Ward 5,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.6090422
Person weighted,10101005: Ward 5,Grade 4 / Std 2,4.6353303
Person weighted,10101005: Ward 5,Grade 5 / Std 3/ABET 2,3.8558931
Person weighted,10101005: Ward 5,Grade 6 / Std 4,6.4602166
Person weighted,10101005: Ward 5,Grade 7 / Std 5/ ABET 3,7.5719184
Person weighted,10101005: Ward 5,Grade 8 / Std 6 / Form 1,8.0233898
Person weighted,10101005: Ward 5,Grade 9 / Std 7 / Form 2/ ABET 4,5.2047251
Person weighted,10101005: Ward 5,Grade 10 / Std 8 / Form 3,6.9160523
Person weighted,10101005: Ward 5,Grade 11 / Std 9 / Form 4,2.4250741
